(Time 14.50 sec;) [1/25,    25/179] loss: 1.344
(Time 26.09 sec;) [1/25,    50/179] loss: 0.971
(Time 37.84 sec;) [1/25,    75/179] loss: 0.965
(Time 49.78 sec;) [1/25,   100/179] loss: 0.922
(Time 61.46 sec;) [1/25,   125/179] loss: 0.912
(Time 73.20 sec;) [1/25,   150/179] loss: 0.922
(Time 82.96 sec;) [1/25,   175/179] loss: 0.872
Epoch 1 stats: Training accuracy: 65.     Test accuracy: 64.
(Time 104.24 sec;) [2/25,    25/179] loss: 0.873
(Time 115.91 sec;) [2/25,    50/179] loss: 0.824
(Time 127.93 sec;) [2/25,    75/179] loss: 0.793
(Time 139.78 sec;) [2/25,   100/179] loss: 0.846
(Time 152.65 sec;) [2/25,   125/179] loss: 0.856
(Time 165.41 sec;) [2/25,   150/179] loss: 0.919
(Time 176.37 sec;) [2/25,   175/179] loss: 0.857
Epoch 2 stats: Training accuracy: 70.     Test accuracy: 67.
(Time 195.70 sec;) [3/25,    25/179] loss: 0.757
(Time 207.48 sec;) [3/25,    50/179] loss: 0.767
(Time 219.59 sec;) [3/25,    75/179] loss: 0.885
(Time 231.69 sec;) [3/25,   100/179] loss: 0.761
(Time 243.91 sec;) [3/25,   125/179] loss: 0.777
(Time 256.38 sec;) [3/25,   150/179] loss: 0.819
(Time 268.34 sec;) [3/25,   175/179] loss: 0.876
Epoch 3 stats: Training accuracy: 58.     Test accuracy: 62.
(Time 287.87 sec;) [4/25,    25/179] loss: 0.849
(Time 300.21 sec;) [4/25,    50/179] loss: 0.822
(Time 312.33 sec;) [4/25,    75/179] loss: 0.816
(Time 324.45 sec;) [4/25,   100/179] loss: 0.776
(Time 336.06 sec;) [4/25,   125/179] loss: 0.720
(Time 348.28 sec;) [4/25,   150/179] loss: 0.765
(Time 359.60 sec;) [4/25,   175/179] loss: 0.790
Epoch 4 stats: Training accuracy: 68.     Test accuracy: 70.
(Time 377.97 sec;) [5/25,    25/179] loss: 0.661
(Time 390.10 sec;) [5/25,    50/179] loss: 0.764
(Time 402.63 sec;) [5/25,    75/179] loss: 0.788
(Time 415.14 sec;) [5/25,   100/179] loss: 0.781
(Time 427.66 sec;) [5/25,   125/179] loss: 0.770
(Time 439.22 sec;) [5/25,   150/179] loss: 0.798
(Time 451.17 sec;) [5/25,   175/179] loss: 0.755
Epoch 5 stats: Training accuracy: 70.     Test accuracy: 68.
(Time 470.74 sec;) [6/25,    25/179] loss: 0.785
(Time 480.39 sec;) [6/25,    50/179] loss: 0.748
(Time 492.22 sec;) [6/25,    75/179] loss: 0.748
(Time 504.49 sec;) [6/25,   100/179] loss: 0.702
(Time 517.16 sec;) [6/25,   125/179] loss: 0.746
(Time 529.55 sec;) [6/25,   150/179] loss: 0.734
(Time 541.46 sec;) [6/25,   175/179] loss: 0.706
Epoch 6 stats: Training accuracy: 70.     Test accuracy: 66.
(Time 560.90 sec;) [7/25,    25/179] loss: 0.719
(Time 572.81 sec;) [7/25,    50/179] loss: 0.706
(Time 583.63 sec;) [7/25,    75/179] loss: 0.736
(Time 597.25 sec;) [7/25,   100/179] loss: 0.704
(Time 609.42 sec;) [7/25,   125/179] loss: 0.704
(Time 621.69 sec;) [7/25,   150/179] loss: 0.730
(Time 633.72 sec;) [7/25,   175/179] loss: 0.715
Epoch 7 stats: Training accuracy: 67.     Test accuracy: 70.
(Time 653.49 sec;) [8/25,    25/179] loss: 0.678
(Time 665.47 sec;) [8/25,    50/179] loss: 0.670
(Time 676.76 sec;) [8/25,    75/179] loss: 0.659
(Time 687.94 sec;) [8/25,   100/179] loss: 0.737
(Time 699.36 sec;) [8/25,   125/179] loss: 0.692
(Time 711.09 sec;) [8/25,   150/179] loss: 0.773
(Time 721.83 sec;) [8/25,   175/179] loss: 0.719
Epoch 8 stats: Training accuracy: 68.     Test accuracy: 71.
(Time 740.90 sec;) [9/25,    25/179] loss: 0.669
(Time 751.87 sec;) [9/25,    50/179] loss: 0.658
(Time 763.04 sec;) [9/25,    75/179] loss: 0.679
(Time 774.49 sec;) [9/25,   100/179] loss: 0.696
(Time 785.67 sec;) [9/25,   125/179] loss: 0.700
(Time 795.60 sec;) [9/25,   150/179] loss: 0.674
(Time 808.51 sec;) [9/25,   175/179] loss: 0.702
Epoch 9 stats: Training accuracy: 65.     Test accuracy: 66.
(Time 829.05 sec;) [10/25,    25/179] loss: 0.619
(Time 841.47 sec;) [10/25,    50/179] loss: 0.609
(Time 852.42 sec;) [10/25,    75/179] loss: 0.674
